algorithms,100,1000,10000,100000
BubbleSort,53977,1935598,183284225,21113041013
SelectionSort,31365,572175,41220942,3729582708
InsertionSort,6386,164931,14797103,1301519740
MergeSort,53972,344808,3289926,34390792
MergeSortConc,35698,381629,1291783,23476775
QuickSort,5535,68185,830465,11040543
QuickSortConc,25663,69208,659355,6274731
